P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,SP,Troy Melton (44213411),Troy Melton,44213411,P,8700,DET@CWS 09/20/2026 02:10PM ET,DET,17.10
,,,,,,,,,,,SP,Foster Griffin (44213936),Foster Griffin,44213936,P,8700,ATH@CLE 09/20/2026 01:40PM ET,CLE,15.85
,,,,,,,,,,,SP,Noah Cameron (44213935),Noah Cameron,44213935,P,8700,KC@PIT 09/20/2026 01:35PM ET,KC,15.38
,,,,,,,,,,,SP,Cole Ragans (44213937),Cole Ragans,44213937,P,8700,KC@PIT 09/20/2026 01:35PM ET,KC,13.19
,,,,,,,,,,,RP,Ben Brown (44213938),Ben Brown,44213938,P,8600,CHC@CIN 09/20/2026 01:40PM ET,CHC,11.57
,,,,,,,,,,,SP,Shane McClanahan (44213940),Shane McClanahan,44213940,P,8600,BOS@TB 09/20/2026 01:40PM ET,TB,14.50
,,,,,,,,,,,SP,Paul Skenes (44213939),Paul Skenes,44213939,P,8600,KC@PIT 09/20/2026 01:35PM ET,PIT,17.04
,,,,,,,,,,,SP,Kevin Gausman (44213942),Kevin Gausman,44213942,P,8500,CHC@CIN 09/20/2026 01:40PM ET,CHC,15.11
,,,,,,,,,,,SP,Hunter Greene (44213943),Hunter Greene,44213943,P,8500,CHC@CIN 09/20/2026 01:40PM ET,CIN,14.29
,,,,,,,,,,,SP,Spencer Schwellenbach (44213941),Spencer Schwellenbach,44213941,P,8500,ATL@HOU 09/20/2026 02:10PM ET,ATL,0
,,,,,,,,,,,RP,Cal Quantrill (44213945),Cal Quantrill,44213945,P,8400,TOR@TEX 09/20/2026 02:35PM ET,TEX,9.48
,,,,,,,,,,,SP,Nathan Eovaldi (44213949),Nathan Eovaldi,44213949,P,8400,TOR@TEX 09/20/2026 02:35PM ET,TEX,16.30
,,,,,,,,,,,RP,Nick Martinez (44213944),Nick Martinez,44213944,P,8400,BOS@TB 09/20/2026 01:40PM ET,TB,14.70
,,,,,,,,,,,RP,Joe Boyle (44213946),Joe Boyle,44213946,P,8400,BOS@TB 09/20/2026 01:40PM ET,TB,12.39
,,,,,,,,,,,SP,Ranger Suarez (44213948),Ranger Suarez,44213948,P,8400,BOS@TB 09/20/2026 01:40PM ET,BOS,15.3
,,,,,,,,,,,SP,Peter Lambert (44213947),Peter Lambert,44213947,P,8400,ATL@HOU 09/20/2026 02:10PM ET,HOU,15.69
,,,,,,,,,,,SP,Jake Bennett (44213951),Jake Bennett,44213951,P,8300,BOS@TB 09/20/2026 01:40PM ET,BOS,15.60
,,,,,,,,,,,SP,Tanner Bibee (44213950),Tanner Bibee,44213950,P,8300,ATH@CLE 09/20/2026 01:40PM ET,CLE,12.65
,,,,,,,,,,,RP,Spencer Strider (44213952),Spencer Strider,44213952,P,8300,ATL@HOU 09/20/2026 02:10PM ET,ATL,14.67
,,,,,,,,,,,SP,Jose Soriano (44213954),Jose Soriano,44213954,P,8200,TOR@TEX 09/20/2026 02:35PM ET,TOR,15.83
,,,,,,,,,,,SP,Quinn Mathews (44213412),Quinn Mathews,44213412,P,8200,WSH@STL 09/20/2026 02:15PM ET,STL,14.6
,,,,,,,,,,,SP,Sean Manaea (44213953),Sean Manaea,44213953,P,8200,PHI@NYM 09/20/2026 01:10PM ET,NYM,10.49
,,,,,,,,,,,SP,Trey Yesavage (44213958),Trey Yesavage,44213958,P,8100,TOR@TEX 09/20/2026 02:35PM ET,TOR,15.08
,,,,,,,,,,,SP,Matthew Boyd (44213956),Matthew Boyd,44213956,P,8100,CHC@CIN 09/20/2026 01:40PM ET,CHC,13.88
,,,,,,,,,,,SP,Logan Gilbert (44213957),Logan Gilbert,44213957,P,8100,SEA@COL 09/20/2026 03:10PM ET,SEA,19.10
,,,,,,,,,,,RP,Hayden Wesneski (44213955),Hayden Wesneski,44213955,P,8100,ATL@HOU 09/20/2026 02:10PM ET,HOU,14.31
,,,,,,,,,,,RP,Griffin Jax (44213413),Griffin Jax,44213413,P,8000,BOS@TB 09/20/2026 01:40PM ET,TB,10.14
,,,,,,,,,,,SP,Slade Cecconi (44213960),Slade Cecconi,44213960,P,8000,ATH@CLE 09/20/2026 01:40PM ET,CLE,9.27
,,,,,,,,,,,SP,George Kirby (44213962),George Kirby,44213962,P,8000,SEA@COL 09/20/2026 03:10PM ET,SEA,13.91
,,,,,,,,,,,SP,Connelly Early (44213961),Connelly Early,44213961,P,8000,WSH@STL 09/20/2026 02:15PM ET,WSH,16.23
,,,,,,,,,,,SP,Tylor Megill (44213959),Tylor Megill,44213959,P,8000,PHI@NYM 09/20/2026 01:10PM ET,NYM,0
,,,,,,,,,,,SP,Reese Olson (44213964),Reese Olson,44213964,P,7900,DET@CWS 09/20/2026 02:10PM ET,DET,0
,,,,,,,,,,,SP,River Ryan (44213965),River Ryan,44213965,P,7900,DET@CWS 09/20/2026 02:10PM ET,DET,0
,,,,,,,,,,,RP,Joey Cantillo (44213966),Joey Cantillo,44213966,P,7900,ATH@CLE 09/20/2026 01:40PM ET,CLE,14.18
,,,,,,,,,,,SP,Bryan Woo (44213963),Bryan Woo,44213963,P,7900,SEA@COL 09/20/2026 03:10PM ET,SEA,17.26
,,,,,,,,,,,SP,Aaron Nola (44213967),Aaron Nola,44213967,P,7900,PHI@NYM 09/20/2026 01:10PM ET,PHI,14.17
,,,,,,,,,,,SP,Keider Montero (44213969),Keider Montero,44213969,P,7800,DET@CWS 09/20/2026 02:10PM ET,DET,11.66
,,,,,,,,,,,SP,Zac Thornton (44213968),Zac Thornton,44213968,P,7800,PHI@NYM 09/20/2026 01:10PM ET,NYM,14.29
,,,,,,,,,,,SP,Cody Ponce (44213974),Cody Ponce,44213974,P,7700,TOR@TEX 09/20/2026 02:35PM ET,TOR,8.05
,,,,,,,,,,,SP,MacKenzie Gore (44213977),MacKenzie Gore,44213977,P,7700,TOR@TEX 09/20/2026 02:35PM ET,TEX,13.71
,,,,,,,,,,,SP,Justin Steele (44213972),Justin Steele,44213972,P,7700,CHC@CIN 09/20/2026 01:40PM ET,CHC,0
,,,,,,,,,,,RP,Clay Holmes (44213975),Clay Holmes,44213975,P,7700,CHC@CIN 09/20/2026 01:40PM ET,CHC,14.90
,,,,,,,,,,,SP,Chase Burns (44213976),Chase Burns,44213976,P,7700,CHC@CIN 09/20/2026 01:40PM ET,CIN,19.68
,,,,,,,,,,,SP,Edward Cabrera (44213978),Edward Cabrera,44213978,P,7700,CHC@CIN 09/20/2026 01:40PM ET,CHC,10.45
,,,,,,,,,,,SP,Javier Assad (44213979),Javier Assad,44213979,P,7700,CHC@CIN 09/20/2026 01:40PM ET,CHC,8.09
,,,,,,,,,,,SP,Ronel Blanco (44213970),Ronel Blanco,44213970,P,7700,ATL@HOU 09/20/2026 02:10PM ET,HOU,6.52
,,,,,,,,,,,SP,Tatsuya Imai (44213971),Tatsuya Imai,44213971,P,7700,ATL@HOU 09/20/2026 02:10PM ET,HOU,10.57
,,,,,,,,,,,SP,Brandon Walter (44213973),Brandon Walter,44213973,P,7700,ATL@HOU 09/20/2026 02:10PM ET,HOU,0
,,,,,,,,,,,SP,Tyler Wells (44213984),Tyler Wells,44213984,P,7600,BOS@TB 09/20/2026 01:40PM ET,TB,4.35
,,,,,,,,,,,SP,Sean Burke (44213981),Sean Burke,44213981,P,7600,DET@CWS 09/20/2026 02:10PM ET,CWS,16.77
,,,,,,,,,,,SP,Tyler Mahle (44213986),Tyler Mahle,44213986,P,7600,ATL@HOU 09/20/2026 02:10PM ET,ATL,14.95
,,,,,,,,,,,RP,Andre Pallante (44213980),Andre Pallante,44213980,P,7600,WSH@STL 09/20/2026 02:15PM ET,STL,13.02
,,,,,,,,,,,RP,Kyle Leahy (44213982),Kyle Leahy,44213982,P,7600,WSH@STL 09/20/2026 02:15PM ET,STL,13.19
,,,,,,,,,,,SP,Hunter Dobbins (44213983),Hunter Dobbins,44213983,P,7600,WSH@STL 09/20/2026 02:15PM ET,STL,13.5
,,,,,,,,,,,SP,Jonah Tong (44213414),Jonah Tong,44213414,P,7600,PHI@NYM 09/20/2026 01:10PM ET,NYM,12.73
,,,,,,,,,,,SP,Nestor Cortes (44213985),Nestor Cortes,44213985,P,7600,PHI@NYM 09/20/2026 01:10PM ET,PHI,0
,,,,,,,,,,,SP,Cade Horton (44213987),Cade Horton,44213987,P,7500,CHC@CIN 09/20/2026 01:40PM ET,CHC,10.45
,,,,,,,,,,,SP,Freddy Peralta (44213988),Freddy Peralta,44213988,P,7500,BOS@TB 09/20/2026 01:40PM ET,TB,13.28
,,,,,,,,,,,SP,Ryan Pepiot (44213990),Ryan Pepiot,44213990,P,7500,BOS@TB 09/20/2026 01:40PM ET,TB,0
,,,,,,,,,,,SP,Christian Scott (44213989),Christian Scott,44213989,P,7500,PHI@NYM 09/20/2026 01:10PM ET,NYM,15.14
,,,,,,,,,,,SP,Bryce Elder (44213991),Bryce Elder,44213991,P,7400,ATL@HOU 09/20/2026 02:10PM ET,ATL,13.77
,,,,,,,,,,,SP,Jose Berrios (44213992),Jose Berrios,44213992,P,7300,TOR@TEX 09/20/2026 02:35PM ET,TOR,0
,,,,,,,,,,,SP,Spencer Arrighetti (44213993),Spencer Arrighetti,44213993,P,7300,TOR@TEX 09/20/2026 02:35PM ET,TOR,11.62
,,,,,,,,,,,SP,Max Scherzer (44213994),Max Scherzer,44213994,P,7300,TOR@TEX 09/20/2026 02:35PM ET,TOR,7.81
,,,,,,,,,,,RP,Matthew Liberatore (44213995),Matthew Liberatore,44213995,P,7200,WSH@STL 09/20/2026 02:15PM ET,STL,11.26
,,,,,,,,,,,SP,Shane Bieber (44213996),Shane Bieber,44213996,P,7100,TOR@TEX 09/20/2026 02:35PM ET,TOR,11.75
,,,,,,,,,,,SP,Patrick Sandoval (44213997),Patrick Sandoval,44213997,P,7100,BOS@TB 09/20/2026 01:40PM ET,BOS,10.95
,,,,,,,,,,,SP,Tanner Houck (44213998),Tanner Houck,44213998,P,7100,BOS@TB 09/20/2026 01:40PM ET,BOS,0
,,,,,,,,,,,SP,Kutter Crawford (44213999),Kutter Crawford,44213999,P,7100,BOS@TB 09/20/2026 01:40PM ET,BOS,0
,,,,,,,,,,,SP,Brayan Bello (44214000),Brayan Bello,44214000,P,7100,BOS@TB 09/20/2026 01:40PM ET,BOS,9.93
,,,,,,,,,,,RP,Framber Valdez (44214003),Framber Valdez,44214003,P,7100,DET@CWS 09/20/2026 02:10PM ET,DET,12.66
,,,,,,,,,,,SP,Cristian Javier (44214001),Cristian Javier,44214001,P,7100,ATL@HOU 09/20/2026 02:10PM ET,HOU,8.29
,,,,,,,,,,,SP,Bubba Chandler (44214002),Bubba Chandler,44214002,P,7100,KC@PIT 09/20/2026 01:35PM ET,PIT,12.38
,,,,,,,,,,,SP,Connor Phillips (44214005),Connor Phillips,44214005,P,7000,CHC@CIN 09/20/2026 01:40PM ET,CIN,2.28
,,,,,,,,,,,SP,Brady Singer (44214012),Brady Singer,44214012,P,7000,CHC@CIN 09/20/2026 01:40PM ET,CIN,9.38
,,,,,,,,,,,SP,Jack Flaherty (44214007),Jack Flaherty,44214007,P,7000,DET@CWS 09/20/2026 02:10PM ET,DET,12.89
,,,,,,,,,,,SP,Andrew Sears (44214008),Andrew Sears,44214008,P,7000,DET@CWS 09/20/2026 02:10PM ET,DET,5.4
,,,,,,,,,,,SP,Justin Verlander (44214009),Justin Verlander,44214009,P,7000,DET@CWS 09/20/2026 02:10PM ET,DET,-4.55
,,,,,,,,,,,RP,Drew Anderson (44214010),Drew Anderson,44214010,P,7000,DET@CWS 09/20/2026 02:10PM ET,DET,6.32
,,,,,,,,,,,SP,Jackson Jobe (44214013),Jackson Jobe,44214013,P,7000,DET@CWS 09/20/2026 02:10PM ET,DET,14.71
,,,,,,,,,,,RP,J.T. Ginn (44214006),J.T. Ginn,44214006,P,7000,ATH@CLE 09/20/2026 01:40PM ET,ATH,13.60
,,,,,,,,,,,SP,Jared Jones (44214004),Jared Jones,44214004,P,7000,KC@PIT 09/20/2026 01:35PM ET,PIT,15.16
,,,,,,,,,,,RP,Gordon Graceffo (44214011),Gordon Graceffo,44214011,P,7000,WSH@STL 09/20/2026 02:15PM ET,STL,3.77
,,,,,,,,,,,RP,Colin Rea (44214017),Colin Rea,44214017,P,6900,CHC@CIN 09/20/2026 01:40PM ET,CHC,9.24
,,,,,,,,,,,RP,Aaron Civale (44214018),Aaron Civale,44214018,P,6900,CHC@CIN 09/20/2026 01:40PM ET,CHC,7.65
,,,,,,,,,,,RP,Jacob Lopez (44214016),Jacob Lopez,44214016,P,6900,ATH@CLE 09/20/2026 01:40PM ET,ATH,9.45
,,,,,,,,,,,SP,Kade Anderson (44213415),Kade Anderson,44213415,P,6900,SEA@COL 09/20/2026 03:10PM ET,SEA,10.28
,,,,,,,,,,,RP,Kai-Wei Teng (44214014),Kai-Wei Teng,44214014,P,6900,ATL@HOU 09/20/2026 02:10PM ET,HOU,6.16
,,,,,,,,,,,RP,AJ Blubaugh (44214015),AJ Blubaugh,44214015,P,6900,ATL@HOU 09/20/2026 02:10PM ET,HOU,4.34
,,,,,,,,,,,SP,Andrew Abbott (44214021),Andrew Abbott,44214021,P,6800,CHC@CIN 09/20/2026 01:40PM ET,CIN,10.58
,,,,,,,,,,,SP,Chase Petty (44214028),Chase Petty,44214028,P,6800,CHC@CIN 09/20/2026 01:40PM ET,CIN,2.68
,,,,,,,,,,,SP,Steven Matz (44214023),Steven Matz,44214023,P,6800,BOS@TB 09/20/2026 01:40PM ET,TB,4.73
,,,,,,,,,,,RP,Cole Sulser (44214024),Cole Sulser,44214024,P,6800,BOS@TB 09/20/2026 01:40PM ET,TB,2.91
,,,,,,,,,,,RP,Jesse Scholtens (44214025),Jesse Scholtens,44214025,P,6800,BOS@TB 09/20/2026 01:40PM ET,TB,10.12
,,,,,,,,,,,SP,Mike Burrows (44214026),Mike Burrows,44214026,P,6800,ATL@HOU 09/20/2026 02:10PM ET,HOU,9.02
,,,,,,,,,,,RP,Jason Alexander (44214027),Jason Alexander,44214027,P,6800,ATL@HOU 09/20/2026 02:10PM ET,HOU,4.31
,,,,,,,,,,,SP,Ethan Pecko (44214029),Ethan Pecko,44214029,P,6800,ATL@HOU 09/20/2026 02:10PM ET,HOU,10.35
,,,,,,,,,,,RP,Alimber Santa (44214030),Alimber Santa,44214030,P,6800,ATL@HOU 09/20/2026 02:10PM ET,HOU,4.01
,,,,,,,,,,,RP,Ryan Bergert (44214019),Ryan Bergert,44214019,P,6800,KC@PIT 09/20/2026 01:35PM ET,KC,0
,,,,,,,,,,,RP,Luinder Avila (44214020),Luinder Avila,44214020,P,6800,KC@PIT 09/20/2026 01:35PM ET,KC,6.98
,,,,,,,,,,,SP,Mitch Keller (44214022),Mitch Keller,44214022,P,6800,KC@PIT 09/20/2026 01:35PM ET,PIT,10.28
,,,,,,,,,,,RP,Jacob Latz (44214033),Jacob Latz,44214033,P,6700,TOR@TEX 09/20/2026 02:35PM ET,TEX,4.69
,,,,,,,,,,,SP,Jack Leiter (44214034),Jack Leiter,44214034,P,6700,TOR@TEX 09/20/2026 02:35PM ET,TEX,12.71
,,,,,,,,,,,SP,Kumar Rocker (44214038),Kumar Rocker,44214038,P,6700,TOR@TEX 09/20/2026 02:35PM ET,TEX,11.85
,,,,,,,,,,,SP,David Peterson (44213416),David Peterson,44213416,P,6700,CHC@CIN 09/20/2026 01:40PM ET,CHC,10.09
,,,,,,,,,,,OF,Pete Crow-Armstrong (44213425),Pete Crow-Armstrong,44213425,OF,6700,CHC@CIN 09/20/2026 01:40PM ET,CHC,11.03
,,,,,,,,,,,RP,Mason Englert (44214040),Mason Englert,44214040,P,6700,BOS@TB 09/20/2026 01:40PM ET,TB,5.55
,,,,,,,,,,,SP,Miguel Ullola (44214032),Miguel Ullola,44214032,P,6700,ATL@HOU 09/20/2026 02:10PM ET,HOU,3.73
,,,,,,,,,,,RP,AJ Smith-Shawver (44214039),AJ Smith-Shawver,44214039,P,6700,ATL@HOU 09/20/2026 02:10PM ET,ATL,5.15
,,,,,,,,,,,SP,Tony Gonsolin (44214031),Tony Gonsolin,44214031,P,6700,KC@PIT 09/20/2026 01:35PM ET,KC,0
,,,,,,,,,,,RP,Randy Dobnak (44214035),Randy Dobnak,44214035,P,6700,KC@PIT 09/20/2026 01:35PM ET,KC,11.59
,,,,,,,,,,,RP,Seth Lugo (44214036),Seth Lugo,44214036,P,6700,KC@PIT 09/20/2026 01:35PM ET,KC,10.58
,,,,,,,,,,,RP,Stephen Kolek (44214037),Stephen Kolek,44214037,P,6700,KC@PIT 09/20/2026 01:35PM ET,KC,11.51
,,,,,,,,,,,OF,Oneil Cruz (44213426),Oneil Cruz,44213426,OF,6600,KC@PIT 09/20/2026 01:35PM ET,PIT,10.34
,,,,,,,,,,,RP,Andrew Alvarez (44214041),Andrew Alvarez,44214041,P,6600,WSH@STL 09/20/2026 02:15PM ET,WSH,12.76
,,,,,,,,,,,SP,Patrick Corbin (44214045),Patrick Corbin,44214045,P,6500,TOR@TEX 09/20/2026 02:35PM ET,TOR,7.50
,,,,,,,,,,,RP,David Sandlin (44214047),David Sandlin,44214047,P,6500,DET@CWS 09/20/2026 02:10PM ET,CWS,10.89
,,,,,,,,,,,SP,JR Ritchie (44214042),JR Ritchie,44214042,P,6500,ATL@HOU 09/20/2026 02:10PM ET,ATL,8.64
,,,,,,,,,,,RP,Reynaldo Lopez (44214043),Reynaldo Lopez,44214043,P,6500,ATL@HOU 09/20/2026 02:10PM ET,ATL,7.36
,,,,,,,,,,,SP,Hurston Waldrep (44214044),Hurston Waldrep,44214044,P,6500,ATL@HOU 09/20/2026 02:10PM ET,ATL,2.33
,,,,,,,,,,,SP,Andrew Painter (44214046),Andrew Painter,44214046,P,6500,PHI@NYM 09/20/2026 01:10PM ET,PHI,10.10
,,,,,,,,,,,SP,Jameson Taillon (44214048),Jameson Taillon,44214048,P,6400,TOR@TEX 09/20/2026 02:35PM ET,TOR,9.67
,,,,,,,,,,,3B,Junior Caminero (44213427),Junior Caminero,44213427,3B,6400,BOS@TB 09/20/2026 01:40PM ET,TB,9.03
,,,,,,,,,,,SP,Luis Castillo (44214049),Luis Castillo,44214049,P,6400,DET@CWS 09/20/2026 02:10PM ET,CWS,9.14
,,,,,,,,,,,SP,Erick Fedde (44214050),Erick Fedde,44214050,P,6400,DET@CWS 09/20/2026 02:10PM ET,CWS,9.50
,,,,,,,,,,,RP,Anthony Kay (44214052),Anthony Kay,44214052,P,6400,DET@CWS 09/20/2026 02:10PM ET,CWS,10.63
,,,,,,,,,,,RP,Logan Allen (44214051),Logan Allen,44214051,P,6400,ATH@CLE 09/20/2026 01:40PM ET,CLE,4.13
,,,,,,,,,,,SP,Gage Jump (44214053),Gage Jump,44214053,P,6400,ATH@CLE 09/20/2026 01:40PM ET,ATH,12.48
,,,,,,,,,,,RP,Daniel Espino (44214054),Daniel Espino,44214054,P,6400,ATH@CLE 09/20/2026 01:40PM ET,CLE,4.05
,,,,,,,,,,,SP,Nick Lodolo (44214058),Nick Lodolo,44214058,P,6300,CHC@CIN 09/20/2026 01:40PM ET,CIN,9.48
,,,,,,,,,,,SP,Luis Severino (44214055),Luis Severino,44214055,P,6300,ATH@CLE 09/20/2026 01:40PM ET,ATH,13.72
,,,,,,,,,,,RP,Grant Holmes (44214056),Grant Holmes,44214056,P,6300,ATL@HOU 09/20/2026 02:10PM ET,ATL,12.31
,,,,,,,,,,,OF,James Wood (44213428),James Wood,44213428,OF,6300,WSH@STL 09/20/2026 02:15PM ET,WSH,10.42
,,,,,,,,,,,SP,Jackson Kent (44214057),Jackson Kent,44214057,P,6300,WSH@STL 09/20/2026 02:15PM ET,WSH,7.22
,,,,,,,,,,,RP,Justin Hagenman (44214059),Justin Hagenman,44214059,P,6300,PHI@NYM 09/20/2026 01:10PM ET,NYM,3.3
,,,,,,,,,,,SP,Kodai Senga (44214060),Kodai Senga,44214060,P,6300,PHI@NYM 09/20/2026 01:10PM ET,NYM,4.4
,,,,,,,,,,,SP,Tobias Myers (44214061),Tobias Myers,44214061,P,6300,PHI@NYM 09/20/2026 01:10PM ET,NYM,2.94
,,,,,,,,,,,RP,Robert Stock (44214062),Robert Stock,44214062,P,6300,PHI@NYM 09/20/2026 01:10PM ET,NYM,7.01
,,,,,,,,,,,SP,Lenny Torres (44214063),Lenny Torres,44214063,P,6300,PHI@NYM 09/20/2026 01:10PM ET,PHI,0
,,,,,,,,,,,RP,Caleb Kilian (44214064),Caleb Kilian,44214064,P,6300,PHI@NYM 09/20/2026 01:10PM ET,PHI,2.93
,,,,,,,,,,,SP,Jackson Rutledge (44214065),Jackson Rutledge,44214065,P,6300,PHI@NYM 09/20/2026 01:10PM ET,PHI,-11.8
,,,,,,,,,,,SP,Alex McFarlane (44214066),Alex McFarlane,44214066,P,6300,PHI@NYM 09/20/2026 01:10PM ET,PHI,3.87
,,,,,,,,,,,RP,Cody Bradford (44214069),Cody Bradford,44214069,P,6200,TOR@TEX 09/20/2026 02:35PM ET,TEX,6.95
,,,,,,,,,,,SP,Brandon Williamson (44214067),Brandon Williamson,44214067,P,6200,CHC@CIN 09/20/2026 01:40PM ET,CIN,7.96
,,,,,,,,,,,RP,Jose Franco (44214077),Jose Franco,44214077,P,6200,CHC@CIN 09/20/2026 01:40PM ET,CIN,3.88
,,,,,,,,,,,RP,Eduardo Rivera (44214070),Eduardo Rivera,44214070,P,6200,BOS@TB 09/20/2026 01:40PM ET,BOS,5.02
,,,,,,,,,,,SP,Johan Oviedo (44214073),Johan Oviedo,44214073,P,6200,BOS@TB 09/20/2026 01:40PM ET,BOS,1.45
,,,,,,,,,,,RP,Jedixson Paez (44214076),Jedixson Paez,44214076,P,6200,BOS@TB 09/20/2026 01:40PM ET,BOS,-4.6
,,,,,,,,,,,SP,Davis Martin (44213417),Davis Martin,44213417,P,6200,DET@CWS 09/20/2026 02:10PM ET,CWS,12.74
,,,,,,,,,,,RP,Jeffrey Springs (44214072),Jeffrey Springs,44214072,P,6200,ATH@CLE 09/20/2026 01:40PM ET,ATH,8.25
,,,,,,,,,,,OF,Randy Arozarena (44213429),Randy Arozarena,44213429,OF,6200,SEA@COL 09/20/2026 03:10PM ET,SEA,9.23
,,,,,,,,,,,SP,Miles Mikolas (44214074),Miles Mikolas,44214074,P,6200,WSH@STL 09/20/2026 02:15PM ET,WSH,5.63
,,,,,,,,,,,RP,Zack Littell (44214075),Zack Littell,44214075,P,6200,WSH@STL 09/20/2026 02:15PM ET,WSH,7.96
,,,,,,,,,,,RP,Xzavion Curry (44214068),Xzavion Curry,44214068,P,6200,PHI@NYM 09/20/2026 01:10PM ET,NYM,3.64
,,,,,,,,,,,RP,Chayce McDermott (44214071),Chayce McDermott,44214071,P,6200,PHI@NYM 09/20/2026 01:10PM ET,NYM,3.21
,,,,,,,,,,,SP,Jordan Wicks (44214092),Jordan Wicks,44214092,P,6100,CHC@CIN 09/20/2026 01:40PM ET,CHC,0.66
,,,,,,,,,,,RP,Ethan Roberts (44214093),Ethan Roberts,44214093,P,6100,CHC@CIN 09/20/2026 01:40PM ET,CHC,1.93
,,,,,,,,,,,SP,Jake Miller (44214084),Jake Miller,44214084,P,6100,DET@CWS 09/20/2026 02:10PM ET,DET,0
,,,,,,,,,,,RP,Yilber Diaz (44214085),Yilber Diaz,44214085,P,6100,DET@CWS 09/20/2026 02:10PM ET,DET,-1.34
,,,,,,,,,,,RP,Ty Madden (44214086),Ty Madden,44214086,P,6100,DET@CWS 09/20/2026 02:10PM ET,DET,6.74
,,,,,,,,,,,RP,Tyler Holton (44214087),Tyler Holton,44214087,P,6100,DET@CWS 09/20/2026 02:10PM ET,DET,2.75
,,,,,,,,,,,RP,Sawyer Gipson-Long (44214094),Sawyer Gipson-Long,44214094,P,6100,DET@CWS 09/20/2026 02:10PM ET,DET,0
,,,,,,,,,,,SP,Logan Evans (44214082),Logan Evans,44214082,P,6100,SEA@COL 09/20/2026 03:10PM ET,SEA,0
